,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(9,)",[0.69249529 0.70579108],0.6991431871189339,"('cat_internet_service_Fiber optic',)",0.028603575084030244,0.00664789302775548,0.0066478930277554795
2,"(6, 9)",[0.74906669 0.7471892 ],0.7481279482237537,"('cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic')",0.004039091331878086,0.0009387444410279833,0.0009387444410279832
3,"(2, 6, 9)",[0.76025213 0.75823403],0.7592430798767089,"('cat_paperless_billing_No', 'cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic')",0.004341599670095671,0.0010090518437413376,0.0010090518437413374
4,"(2, 6, 9, 10)",[0.76835454 0.76615833],0.7672564364083604,"('cat_paperless_billing_No', 'cat_payment_method_Electronic check', 'cat_internet_service_Fiber optic', 'cat_internet_service_None')",0.004724776898504056,0.0010981078871781236,0.0010981078871781236
5,"(2, 6, 8, 9, 10)",[0.76834554 0.76545113],0.7668983373705407,"('cat_paperless_billing_No', 'cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_internet_service_Fiber optic', 'cat_internet_service_None')",0.006226831633866316,0.0014472075774506488,0.0014472075774506485
6,"(2, 3, 6, 8, 9, 10)",[0.76835454 0.76545113],0.7669028370443143,"('cat_paperless_billing_No', 'cat_paperless_billing_Yes', 'cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_internet_service_Fiber optic', 'cat_internet_service_None')",0.006246192167511935,0.0014517072512242324,0.0014517072512242322
7,"(2, 3, 5, 6, 8, 9, 10)",[0.76745123 0.76547475],0.7664629939329398,"('cat_paperless_billing_No', 'cat_paperless_billing_Yes', 'cat_payment_method_Credit card (automatic)', 'cat_payment_method_Electronic check', 'cat_internet_service_DSL', 'cat_internet_service_Fiber optic', 'cat_internet_service_None')",0.0042520572019834856,0.0009882408525382358,0.0009882408525382358
