iter	Logloss
0	0.6790974971
1	0.664878804
2	0.6516559801
3	0.6378379597
4	0.6249411261
5	0.6137442333
6	0.6041292424
7	0.5944306013
8	0.5849254484
9	0.5761061933
10	0.568494559
11	0.56101966
12	0.5526793502
13	0.5470833378
14	0.5407747218
15	0.5338307
16	0.5297786271
17	0.5239302178
18	0.5190327837
19	0.5133043302
20	0.5087745578
21	0.5044175715
22	0.4997444453
23	0.4963382004
24	0.493101632
25	0.4894982363
26	0.4867309309
27	0.4835233205
28	0.4802090367
29	0.4776956184
30	0.474406506
31	0.4718165844
32	0.469223401
33	0.4666016637
34	0.4644554072
35	0.462480542
36	0.4605992042
37	0.459011507
38	0.4572921226
39	0.4556946683
40	0.4538275185
41	0.4521033213
42	0.4505072994
43	0.4489411712
44	0.4474765512
45	0.4463043628
46	0.445185301
47	0.4441091651
48	0.442833133
49	0.441686776
50	0.4405502937
51	0.4397622908
52	0.4387814609
53	0.4372823271
54	0.4365831889
55	0.4354872129
56	0.4346684498
57	0.4339794657
58	0.4330705356
59	0.4324642579
60	0.4314391543
61	0.4304737902
62	0.4297258051
63	0.4292169974
64	0.4283933746
65	0.4276906176
66	0.4270740182
67	0.4265724165
68	0.4259475312
69	0.4253929028
70	0.4249392113
71	0.4243055505
72	0.423850547
73	0.4233849168
74	0.4228650533
75	0.4224629548
76	0.4219977775
77	0.4214445263
78	0.4208383546
79	0.4204681667
80	0.4200420335
81	0.4195732052
82	0.4192435592
83	0.4188823493
84	0.4185583002
85	0.4180574241
86	0.4177021095
87	0.4173749957
88	0.4169637262
89	0.4166024186
90	0.4162755676
91	0.4159131182
92	0.4155170303
93	0.4151467574
94	0.4148271581
95	0.4144877251
96	0.4140207654
97	0.4137679187
98	0.4135293681
99	0.4133632604
100	0.4131133694
101	0.4128267434
102	0.412535716
103	0.4122298589
104	0.4120284364
105	0.4117821336
106	0.4115423904
107	0.4112912445
108	0.4111148471
109	0.4108503286
110	0.4106253778
111	0.41050539
112	0.4102342038
113	0.4099571442
114	0.4097541902
115	0.4095696574
116	0.4093513544
117	0.4091278722
118	0.4089279185
119	0.4087073685
120	0.408544443
121	0.4083391565
122	0.4081880709
123	0.4079781545
124	0.4077629775
125	0.407612364
126	0.4073835804
127	0.4071401908
128	0.4070341312
129	0.406834063
130	0.4066270968
131	0.4064345333
132	0.4062092667
133	0.4060328239
134	0.4058676606
135	0.4057308914
136	0.4055952059
137	0.4054416784
138	0.4052516689
139	0.4050738414
140	0.4049023102
141	0.4047642723
142	0.4046490078
143	0.4044951547
144	0.4042736838
145	0.4041685219
146	0.4040417583
147	0.4038627789
148	0.4036504848
149	0.4035089968
150	0.4033889517
151	0.4032753584
152	0.4031507845
153	0.4030311861
154	0.4028608155
155	0.4027027683
156	0.4025549954
157	0.402415121
158	0.4023075641
159	0.4021676465
160	0.4020124049
161	0.4018914017
162	0.4017412999
163	0.4016287412
164	0.4014797783
165	0.4013954336
166	0.4012538374
167	0.4011674662
168	0.4010612485
169	0.4009362913
170	0.4008262649
171	0.4007419501
172	0.4005854897
173	0.4005690852
174	0.4004797248
175	0.4002863109
176	0.4001194462
177	0.4000123007
178	0.3999252254
179	0.3998601845
180	0.3997421367
181	0.3996259651
182	0.3995057667
183	0.3994107437
184	0.3992501005
185	0.399101432
186	0.3990136502
187	0.3989032698
188	0.398867446
189	0.3987338469
190	0.3986099533
191	0.3985246618
192	0.3983872998
193	0.3982833003
194	0.3981671529
195	0.3980718853
196	0.3979787325
197	0.3979277595
198	0.3978167811
199	0.3977388744
200	0.3976706381
201	0.3975464581
202	0.3974051034
203	0.3973381083
204	0.3971983509
205	0.397118893
206	0.3970391468
207	0.3969533379
208	0.3968941208
209	0.3968193891
210	0.3967056197
211	0.396543999
212	0.3964231547
213	0.3963254056
214	0.3962397361
215	0.3961513306
216	0.3960201997
217	0.3959009109
218	0.3957780295
219	0.3957012609
220	0.3955332841
221	0.3954296787
222	0.3953163354
223	0.3952229148
224	0.3950940972
225	0.3949563378
226	0.3948437214
227	0.3947407199
228	0.3946458061
229	0.3945675782
230	0.3944806227
231	0.3943826717
232	0.3942958759
233	0.394202259
234	0.3941011663
235	0.3940110189
236	0.3939046088
237	0.3938315536
238	0.3937324142
239	0.393610608
240	0.3935384978
241	0.393404434
242	0.3932989025
243	0.393190809
244	0.393123538
245	0.3930195025
246	0.392957061
247	0.3928876433
248	0.3928138733
249	0.3927615369
250	0.3927420834
251	0.3926876851
252	0.39258443
253	0.3925181907
254	0.3923982653
255	0.3923254959
256	0.3923138245
257	0.3922216527
258	0.3921236021
259	0.3920356845
260	0.3919884804
261	0.3918983747
262	0.3918269735
263	0.3917131039
264	0.391611249
265	0.3915406209
266	0.3913759256
267	0.391296694
268	0.3912533551
269	0.391191301
270	0.3911006373
271	0.3910017727
272	0.3909270672
273	0.3908471285
274	0.3907272518
275	0.3906467528
276	0.3905806226
277	0.3904393404
278	0.3903306779
279	0.3902524308
280	0.3901335452
281	0.3900264441
282	0.3899526573
283	0.3898652327
284	0.3898252748
285	0.3897235638
286	0.3896611513
287	0.3896197447
288	0.3895378296
289	0.389422113
290	0.3893345456
291	0.3892321203
292	0.3891510904
293	0.3890892252
294	0.3890218857
295	0.3889207345
296	0.3888629187
297	0.3888137912
298	0.3887785576
299	0.3886879479
300	0.3886466819
301	0.3885746641
302	0.3885372494
303	0.3884530001
304	0.3883322747
305	0.3882473159
306	0.3880899734
307	0.3880295504
308	0.3879416217
309	0.3878807652
310	0.3877815426
311	0.3876801016
312	0.3875574461
313	0.3874838513
314	0.3874068588
315	0.3873539102
316	0.3872485709
317	0.3871695825
318	0.3870743941
319	0.3869751214
320	0.3868610123
321	0.3867973542
322	0.3866695336
323	0.3866139212
324	0.3865485212
325	0.3864767675
326	0.3863876912
327	0.386326166
328	0.3862458557
329	0.3861569481
330	0.3860300751
331	0.3859492632
332	0.3858581561
333	0.3857939007
334	0.3856772167
335	0.3855960918
336	0.3855215342
337	0.3854779051
338	0.3854051319
339	0.3853792888
340	0.3853022483
341	0.3852706745
342	0.3851731914
343	0.3850597481
344	0.3849852727
345	0.3849385796
346	0.3848675381
347	0.3847694111
348	0.3846592713
349	0.3844990744
350	0.3843868636
351	0.3842815017
352	0.3842268048
353	0.3841723841
354	0.3841290759
355	0.3840722149
356	0.3840249284
357	0.3839760683
358	0.3839234685
359	0.3838481309
360	0.3837915255
361	0.3837067442
362	0.3836229182
363	0.3835175931
364	0.383369764
365	0.383288016
366	0.3831725148
367	0.3830655361
368	0.3829946671
369	0.3829108494
370	0.3828426486
371	0.3827998033
372	0.3827200446
373	0.3826727025
374	0.3826246584
375	0.3825789825
376	0.3824670376
377	0.3823480275
378	0.3822688875
379	0.3821594279
380	0.3820361192
381	0.3819161256
382	0.3818287893
383	0.3817287108
384	0.3816635714
385	0.3816207006
386	0.3814827769
387	0.3813958086
388	0.3813407967
389	0.3812958005
390	0.3812050123
391	0.381148257
392	0.3810697975
393	0.3809680676
394	0.3808615161
395	0.3808237222
396	0.3806991054
397	0.3806270726
398	0.380541453
399	0.3805019521
400	0.3804483897
401	0.3803603078
402	0.3803095708
403	0.3802459988
404	0.3801842799
405	0.3801355741
406	0.3800402376
407	0.3799818121
408	0.3799108083
409	0.3798134779
410	0.3797049213
411	0.3795963265
412	0.3794895799
413	0.3793869582
414	0.3792863567
415	0.3792050467
416	0.3791615785
417	0.3790704206
418	0.3790166793
419	0.3789613726
420	0.3788987082
421	0.3788362378
422	0.3787536593
423	0.3786592006
424	0.378597955
425	0.3785503633
426	0.3784814471
427	0.3783842258
428	0.3783167234
429	0.3782299286
430	0.3781726762
431	0.3780902437
432	0.3779944038
433	0.377869095
434	0.3777829559
435	0.3777247177
436	0.3776416833
437	0.3775613405
438	0.3775083219
439	0.3774026123
440	0.377350387
441	0.3772925688
442	0.3772391593
443	0.3771881894
444	0.3771259931
445	0.3770577338
446	0.3769656976
447	0.3769018724
448	0.3768479384
449	0.3767452441
450	0.3766552027
451	0.3765812025
452	0.3765174477
453	0.3764661329
454	0.3764167708
455	0.3763138577
456	0.3762772471
457	0.3762109889
458	0.3761225677
459	0.3760120131
460	0.3758951769
461	0.3758117174
462	0.3757586598
463	0.3756779215
464	0.3756065612
465	0.3755304249
466	0.375466742
467	0.3753833185
468	0.3753075501
469	0.3752461429
470	0.3751814788
471	0.3750879986
472	0.3750398601
473	0.3749944526
474	0.3749420792
475	0.3748759954
476	0.3748042825
477	0.3747383316
478	0.3746564124
479	0.3745972827
480	0.3745315423
481	0.3744437935
482	0.3743928517
483	0.3743299737
484	0.3742248613
485	0.3741329411
486	0.3740856185
487	0.3739806984
488	0.3739228647
489	0.3738650685
490	0.3737782183
491	0.373691526
492	0.3736114841
493	0.3735604905
494	0.373498024
495	0.3734498115
496	0.373360492
497	0.3733077031
498	0.3732308321
499	0.3731569989
500	0.3731013669
501	0.3730445957
502	0.3729766379
503	0.3728958125
504	0.3728194471
505	0.3727602626
506	0.3727066541
507	0.3726616373
508	0.3725936003
509	0.3725265761
510	0.3724714624
511	0.37240563
512	0.3723147419
513	0.3722593518
514	0.3721633817
515	0.3721257873
516	0.3720606007
517	0.3719263713
518	0.3718693974
519	0.3717982847
520	0.3717232714
521	0.3716501889
522	0.371601349
523	0.3715647606
524	0.3714733783
525	0.3714033575
526	0.3713128905
527	0.371216032
528	0.3710862643
529	0.371014089
530	0.3708871059
531	0.3707806523
532	0.3707173347
533	0.3706371298
534	0.3705401049
535	0.3704539018
536	0.3703540174
537	0.3702896985
538	0.3702360293
539	0.3701624219
540	0.3700998241
541	0.3699718064
542	0.3698771163
543	0.3698519829
544	0.369806986
545	0.3697251636
546	0.3696617884
547	0.3695936558
548	0.3695254163
549	0.3694767496
550	0.3694319615
551	0.3693384708
552	0.3692882206
553	0.3692015238
554	0.3691675545
555	0.3690732596
556	0.3689973015
557	0.3689498535
558	0.3688991559
559	0.368843342
560	0.3687500377
561	0.36867466
562	0.3685643467
563	0.3685177657
564	0.3684374471
565	0.3683647407
566	0.368316049
567	0.3682320753
568	0.3681427219
569	0.3680610585
570	0.367964993
571	0.3678793281
572	0.3678373744
573	0.3677559998
574	0.3676663896
575	0.3675831079
576	0.3675253737
577	0.3674032202
578	0.3673480622
579	0.3673004177
580	0.3672136059
581	0.3671531647
582	0.3670778847
583	0.366958066
584	0.366908818
585	0.366859142
586	0.3668331257
587	0.3667853183
588	0.3666846605
589	0.3665974535
590	0.3665106851
591	0.3664174676
592	0.3663567143
593	0.3662796335
594	0.3661880508
595	0.3661040734
596	0.3660218076
597	0.3659884198
598	0.3659217028
599	0.3658697539
600	0.3657966506
601	0.3657304595
602	0.3656286824
603	0.3655821013
604	0.3654922298
605	0.3654069479
606	0.3653404727
607	0.3652662124
608	0.3652164115
609	0.3651708355
610	0.3651350945
611	0.3650314642
612	0.365001898
613	0.3649649099
614	0.3648876565
615	0.3648018425
616	0.3647426009
617	0.3646836983
618	0.3646066075
619	0.3645604094
620	0.3645244244
621	0.3644616398
622	0.364331823
623	0.3642198051
624	0.3641399979
625	0.3640155541
626	0.3639857143
627	0.3638803559
628	0.3638464959
629	0.363768036
630	0.3636536377
631	0.3635516726
632	0.3635173576
633	0.3634502333
634	0.3634100442
635	0.3633322831
636	0.3632774714
637	0.3632027749
638	0.3630887219
639	0.36302665
640	0.3629445301
641	0.3628370518
642	0.3627759414
643	0.3627277686
644	0.3626912162
645	0.3625859497
646	0.3624649959
647	0.3624211128
648	0.362360248
649	0.3623111819
650	0.3622265008
651	0.3621438969
652	0.3620716228
653	0.3620292308
654	0.3619560605
655	0.3618349026
656	0.3617534712
657	0.3617226049
658	0.3616838067
659	0.3616379395
660	0.361590925
661	0.3615130249
662	0.3614892791
663	0.3614404751
664	0.3613895362
665	0.3613187434
666	0.3612540889
667	0.3612131967
668	0.3611647267
669	0.3610713429
670	0.3610119013
671	0.3609342749
672	0.3608985411
673	0.3607947931
674	0.3607230893
675	0.3606662957
676	0.3606242714
677	0.3605954582
678	0.3604887997
679	0.3604602709
680	0.3603622071
681	0.3603083928
682	0.3602720938
683	0.3602078551
684	0.3601874
685	0.3601410034
686	0.3601030581
687	0.3600668093
688	0.3600171769
689	0.3599518756
690	0.3599206456
691	0.3598849095
692	0.3598417248
693	0.3598044467
694	0.3597359116
695	0.359692489
696	0.3595880607
697	0.3595259288
698	0.3594848073
699	0.3594346889
700	0.3593892902
701	0.3593484828
702	0.35928597
703	0.3592324514
704	0.3591975682
705	0.3591393033
706	0.3591005586
707	0.3590254944
708	0.3589910082
709	0.3588782982
710	0.3588437316
711	0.3587569306
712	0.358688268
713	0.3586470799
714	0.3586070386
715	0.3585307179
716	0.3584190296
717	0.3583807284
718	0.3582826939
719	0.3582001802
720	0.3581324148
721	0.3580896913
722	0.3580264864
723	0.3579275796
724	0.3578936119
725	0.3578098541
726	0.3577000832
727	0.3576426043
728	0.3575487411
729	0.3575096039
730	0.3574038935
731	0.3573368742
732	0.3572847334
733	0.3572306287
734	0.3571766149
735	0.3571444217
736	0.3570859949
737	0.357046782
738	0.3570058914
739	0.3569548848
740	0.3568969555
741	0.3567970814
742	0.3567230622
743	0.3566477688
744	0.3565729678
745	0.3565116731
746	0.3564636817
747	0.3564091445
748	0.3563567889
749	0.3562809662
750	0.3562181772
751	0.3561569614
752	0.3560960821
753	0.3560282675
754	0.3559667056
755	0.3559150273
756	0.3558644558
757	0.3558324584
758	0.3557417192
759	0.3556917565
760	0.3556642509
761	0.3556331924
762	0.3555372744
763	0.3554379599
764	0.3553469487
765	0.3552932852
766	0.3552027934
767	0.355170285
768	0.355118804
769	0.3550534669
770	0.3549859038
771	0.3549566188
772	0.3549253249
773	0.3548597315
774	0.3548106617
775	0.3547175252
776	0.3546634493
777	0.3546334826
778	0.3545821309
779	0.3545094077
780	0.3543888153
781	0.3542863062
782	0.3542566412
783	0.3541530258
784	0.3541202975
785	0.354051615
786	0.3539695652
787	0.3539250742
788	0.3538703102
789	0.353801791
790	0.3537650251
791	0.3536856501
792	0.3536260001
793	0.353554744
794	0.3534850882
795	0.3534079974
796	0.3533662935
797	0.3533282576
798	0.3532351099
799	0.3531642242
800	0.3531089304
801	0.3530692559
802	0.35303977
803	0.353013022
804	0.3529560211
805	0.3528798374
806	0.352775929
807	0.3527281057
808	0.3526546227
809	0.3526257326
810	0.3525884161
811	0.3525137156
812	0.3524626475
813	0.3524246633
814	0.352389536
815	0.3523109083
816	0.3522520512
817	0.352166603
818	0.352096943
819	0.3520105331
820	0.3519259038
821	0.3518563694
822	0.3518081866
823	0.3517187229
824	0.3516314865
825	0.351571696
826	0.35150004
827	0.3514375677
828	0.3513892958
829	0.3513257369
830	0.3512599038
831	0.3511993068
832	0.3511456032
833	0.3510875894
834	0.3509867812
835	0.3509399168
836	0.3508863769
837	0.3508274028
838	0.3507850519
839	0.3507149272
840	0.3506610743
841	0.3506330222
842	0.3505885387
843	0.3505454806
844	0.3504862086
845	0.3504169699
